Depth_meter,Area_meterSquared
0,39850000
1,3.6e+07
2,3.4e+07
3,32100000
4,30300000
5,28700000
6,27800000
7,2.7e+07
8,2.6e+07
9,2.5e+07
10,2.4e+07
11,22700000
12,21100000
13,19900000
14,18400000
15,17600000
16,16400000
17,15200000
18,13700000
19,11300000
20,8600000
21,5900000
22,3500000
23,1600000
24,1e+05
25,0
